id_news_article,news_url,image_url,commons_url,avg_rank,median_rank,rank_var,content-WPtitle,content-caption,title-caption,baseline
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/f/f5/Polio_worldwide_2005.svg,https://commons.wikimedia.org/wiki/File:Polio_worldwide_2005.svg,1.833333333,1.5,0.805555556,0.978392899,0.990357255,0.994905081,0.040852575
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/6/63/Polio_worldwide_2012.svg,https://commons.wikimedia.org/wiki/File:Polio_worldwide_2012.svg,2,2,0.333333333,0.978392899,0.990428997,0.994919138,0.037433155
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/b/b4/Cg-map.png,https://commons.wikimedia.org/wiki/File:Cg-map.png,0.333333333,0,0.555555556,0.921013714,0.400501804,0.413537789,0
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/3/39/Polio_worldwide_2015.svg,https://commons.wikimedia.org/wiki/File:Polio_worldwide_2015.svg,2.5,3,0.583333333,0.978392899,0.990554867,0.994891841,0.053892216
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/e/e2/Polio_worldwide_2016.svg,https://commons.wikimedia.org/wiki/File:Polio_worldwide_2016.svg,2.5,3,0.583333333,0.978392899,0.988604822,0.99313882,0.064814815
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/c/ca/Polio_worldwide_2013.svg,https://commons.wikimedia.org/wiki/File:Polio_worldwide_2013.svg,1.666666667,1.5,0.555555556,0.978392899,0.989824408,0.994798892,0.041516245
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/0/0c/Polio_worldwide_2014.svg,https://commons.wikimedia.org/wiki/File:Polio_worldwide_2014.svg,2.166666667,2,0.472222222,0.978392899,0.990410278,0.994884337,0.057377049
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/3/31/Poliomyelitis_world_map_-_DALY_-_WHO2004.svg,https://commons.wikimedia.org/wiki/File:Poliomyelitis_world_map_-_DALY_-_WHO2004.svg,1,1,1,0.978392899,0.976485203,0.907944166,0.029126214
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/7/75/IMF_advanced_economies_2008.svg,https://commons.wikimedia.org/wiki/File:IMF_advanced_economies_2008.svg,0.666666667,0,1.222222222,0.783252107,0.731356117,0.467205591,0.003521127
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/8/82/%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD.png,https://commons.wikimedia.org/wiki/File:%D8%A7%D9%84%D9%84%D9%82%D8%A7%D8%AD.png,1,1,0.333333333,0.995565106,0.995317723,0.995233621,0.063492063
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/f/f7/Fever-conceptual.svg,https://commons.wikimedia.org/wiki/File:Fever-conceptual.svg,0.166666667,0,0.138888889,0.95712944,0.572836254,0.19677263,0
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/5/50/Febbre.gif,https://commons.wikimedia.org/wiki/File:Febbre.gif,0.166666667,0,0.138888889,0.95712944,0.977811467,0.91808079,0
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/a/af/Infectious_and_parasitic_diseases_world_map_-_DALY_-_WHO2004.svg,https://commons.wikimedia.org/wiki/File:Infectious_and_parasitic_diseases_world_map_-_DALY_-_WHO2004.svg,0.666666667,0.5,0.555555556,0.978883529,0.991623072,0.941252881,0.008241758
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/7/7f/Newly_industrialized_countries_2013.svg,https://commons.wikimedia.org/wiki/File:Newly_industrialized_countries_2013.svg,0.166666667,0,0.138888889,0.783252107,0.482266676,0.217216933,0.008888889
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/6/67/World_Health_Organization_membership_status_map.png,https://commons.wikimedia.org/wiki/File:World_Health_Organization_membership_status_map.png,0.666666667,0.5,0.555555556,0.94702806,0.88278397,0.662284796,0.005479452
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/b/b3/World_Health_Organisation_regional_offices.svg,https://commons.wikimedia.org/wiki/File:World_Health_Organisation_regional_offices.svg,0.5,0.5,0.25,0.94702806,0.262501721,0.212474786,0
1,http://www.bbc.com/news/health-36055507,https://upload.wikimedia.org/wikipedia/commons/3/34/2014_UN_Human_Development_Report_Quartiles.svg,https://commons.wikimedia.org/wiki/File:2014_UN_Human_Development_Report_Quartiles.svg,0.333333333,0,0.555555556,0.783252107,0.750470982,0.544758025,0.002159827
2,http://www.bbc.com/news/world-us-canada-36088194,https://upload.wikimedia.org/wikipedia/commons/0/05/LDS_Global_Distribution.svg,https://commons.wikimedia.org/wiki/File:LDS_Global_Distribution.svg,0.333333333,0,0.555555556,0.964755438,0.963682024,0.892943971,0.010471204
2,http://www.bbc.com/news/world-us-canada-36088194,https://upload.wikimedia.org/wikipedia/commons/6/63/Pornography_laws.svg,https://commons.wikimedia.org/wiki/File:Pornography_laws.svg,1.5,1.5,0.916666667,0.977266113,0.97820798,0.929199748,0
3,http://www.bbc.com/news/world-us-canada-36078274,https://upload.wikimedia.org/wikipedia/commons/a/ae/MTBI_incidince_bar_graph.svg,https://commons.wikimedia.org/wiki/File:MTBI_incidince_bar_graph.svg,0.75,1,0.1875,0.968876445,0.772911022,0.776198241,0.003236246
4,http://www.foxnews.com/us/2016/04/19/alaska-teacher-mauled-by-bear-during-mountaineering-class.html,https://upload.wikimedia.org/wikipedia/commons/5/59/Alaska_area_compared_to_conterminous_US.svg,https://commons.wikimedia.org/wiki/File:Alaska_area_compared_to_conterminous_US.svg,0.25,0,0.1875,0.881681232,0.938056763,0.986306834,0.009375
4,http://www.foxnews.com/us/2016/04/19/alaska-teacher-mauled-by-bear-during-mountaineering-class.html,https://upload.wikimedia.org/wikipedia/commons/d/d5/Map_of_Alaska_NA.png,https://commons.wikimedia.org/wiki/File:Map_of_Alaska_NA.png,1,1,0.5,0.883260544,0.867870154,0.990126515,0.02173913
4,http://www.foxnews.com/us/2016/04/19/alaska-teacher-mauled-by-bear-during-mountaineering-class.html,https://upload.wikimedia.org/wikipedia/commons/8/82/Alaska_climate_regions_USGS.gif,https://commons.wikimedia.org/wiki/File:Alaska_climate_regions_USGS.gif,0.5,0.5,0.25,0.881681232,0.893940007,0.978381618,0.01344086
4,http://www.foxnews.com/us/2016/04/19/alaska-teacher-mauled-by-bear-during-mountaineering-class.html,https://upload.wikimedia.org/wikipedia/commons/1/1b/Interstate_Alaska_map.png,https://commons.wikimedia.org/wiki/File:Interstate_Alaska_map.png,0.25,0,0.1875,0.881681232,0.776971746,0.948272196,0.011029412
4,http://www.foxnews.com/us/2016/04/19/alaska-teacher-mauled-by-bear-during-mountaineering-class.html,https://upload.wikimedia.org/wikipedia/commons/8/84/Alaska1895.jpg,https://commons.wikimedia.org/wiki/File:Alaska1895.jpg,0.5,0,0.75,0.927451676,0.941126166,0.991878271,0.009493671
4,http://www.foxnews.com/us/2016/04/19/alaska-teacher-mauled-by-bear-during-mountaineering-class.html,https://upload.wikimedia.org/wikipedia/commons/7/74/1860-russian-america.jpg,https://commons.wikimedia.org/wiki/File:1860-russian-america.jpg,0,0,0,0.927451676,0.66339563,0.783265712,0.005328597
4,http://www.foxnews.com/us/2016/04/19/alaska-teacher-mauled-by-bear-during-mountaineering-class.html,https://upload.wikimedia.org/wikipedia/commons/0/0e/800x598_Carte_Alaska_R3.jpg,https://commons.wikimedia.org/wiki/File:800x598_Carte_Alaska_R3.jpg,0.75,1,0.1875,0.883260544,0.859295687,0.985147061,0.016483516
4,http://www.foxnews.com/us/2016/04/19/alaska-teacher-mauled-by-bear-during-mountaineering-class.html,https://upload.wikimedia.org/wikipedia/commons/8/84/Alaska_in_United_States_%28US50%29.svg,https://commons.wikimedia.org/wiki/File:Alaska_in_United_States_%28US50%29.svg,0.25,0,0.1875,0.883260544,0.928393034,0.990376912,0.005102041
4,http://www.foxnews.com/us/2016/04/19/alaska-teacher-mauled-by-bear-during-mountaineering-class.html,https://upload.wikimedia.org/wikipedia/commons/0/09/Alaska_map_of_K%C3%B6ppen_climate_classification.svg,https://commons.wikimedia.org/wiki/File:Alaska_map_of_K%C3%B6ppen_climate_classification.svg,0.5,0.5,0.25,0.881681232,0.77723044,0.944580209,0.008438819
4,http://www.foxnews.com/us/2016/04/19/alaska-teacher-mauled-by-bear-during-mountaineering-class.html,https://upload.wikimedia.org/wikipedia/commons/0/0f/Public-Lands-Western-US.png,https://commons.wikimedia.org/wiki/File:Public-Lands-Western-US.png,0.5,0.5,0.25,0.881681232,0.927130677,0.976800946,0
4,http://www.foxnews.com/us/2016/04/19/alaska-teacher-mauled-by-bear-during-mountaineering-class.html,https://upload.wikimedia.org/wikipedia/commons/c/c4/Alaska_boroughs_and_census_areas_1997-2007.png,https://commons.wikimedia.org/wiki/File:Alaska_boroughs_and_census_areas_1997-2007.png,0.25,0,0.1875,0.883260544,0.836270911,0.977879644,0.007874016
5,http://www.foxnews.com/us/2016/04/18/flash-flood-warnings-in-effect-as-texas-braces-for-severe-downpours.html,https://upload.wikimedia.org/wikipedia/commons/9/93/Race_and_ethnicity_Austin_%282000%29.png,https://commons.wikimedia.org/wiki/File:Race_and_ethnicity_Austin_%282000%29.png,0,0,0,0.860658801,0.851583148,0.722885952,0.001536098
5,http://www.foxnews.com/us/2016/04/18/flash-flood-warnings-in-effect-as-texas-braces-for-severe-downpours.html,https://upload.wikimedia.org/wikipedia/commons/e/eb/Wpdms_republic_of_texas.svg,https://commons.wikimedia.org/wiki/File:Wpdms_republic_of_texas.svg,0,0,0,0.860277601,0.907439705,0.981309424,0.004081633
5,http://www.foxnews.com/us/2016/04/18/flash-flood-warnings-in-effect-as-texas-braces-for-severe-downpours.html,https://upload.wikimedia.org/wikipedia/commons/a/ac/Texas_proposed_boundaries.svg,https://commons.wikimedia.org/wiki/File:Texas_proposed_boundaries.svg,0,0,0,0.860277601,0.88139165,0.97037565,0
5,http://www.foxnews.com/us/2016/04/18/flash-flood-warnings-in-effect-as-texas-braces-for-severe-downpours.html,https://upload.wikimedia.org/wikipedia/commons/2/2d/Map_of_the_USA_highlighting_Greater_Houston.gif,https://commons.wikimedia.org/wiki/File:Map_of_the_USA_highlighting_Greater_Houston.gif,0.5,0,0.75,0.937612536,0.903071691,0.929034229,0.012448133
